Disc,Education,Job_Name,jobs
"<p>Gaming services workers serve customers in gambling establishments, such as casinos or racetracks. Some workers tend slot machines or deal cards. Others take bets or pay out winnings. Still others supervise or manage gaming workers and operations.</p>,<p>Gaming services workers typically do the following:</p>,<p>The following are examples of types of gaming services workers:</p>,<p><strong><em>Gaming managers and supervisors</em></strong> direct and oversee the gaming operations and personnel in their assigned area. Supervisors circulate among the tables to make sure that everything is running smoothly and that all areas are properly staffed. Gaming managers and supervisors typically do the following:</p>,<p><strong><em>Slot supervisors</em></strong> oversee the activities of the slot department. The job duties of this occupation have changed significantly, as slot machines have become more automated in recent years. Because most casinos use slot machines that give out tickets instead of cash and thus require very little oversight, workers in this occupation spend most of their time providing customer service to slot players. Slot supervisors typically do the following:</p>,<p><strong><em>Gaming dealers</em></strong> operate table games such as craps, blackjack, and roulette. They stand or sit behind tables while serving customers. Dealers control the pace and action of the game. They announce each player’s move to the rest of the table and let players know when it is their turn. Most dealers are often required to work at least two games, usually blackjack or craps. Gaming dealers typically do the following:</p>,<p><strong><em>Gaming and sports book writers and runners</em></strong> handle bets on sporting events and take and record bets for customers. Sports book writers and runners also verify tickets and pay out winning tickets. In addition, they help run games such as bingo and keno. Some gaming runners collect winning tickets from customers in a casino. Gaming and sports book writers and runners typically do the following:</p>",    High school diploma or equivalent,    Gaming Services Workers,"<li>Interact with customers and ensure that they have a pleasant experience</li>,<li>Monitor customers for violations of gaming regulations or casino policies</li>,<li>Inform their supervisor or a security employee of any irregularities they observe</li>,<li>Enforce safety rules and report hazards</li>,<li>Explain how to play the games to customers</li>,<li>Keep an eye on customers and employees to ensure compliance with all gaming and casino rules</li>,<li>Communicate with other departments if security or customer-service issues arise</li>,<li>Address customers’ complaints about service</li>,<li>Explain house operating rules, such as betting limits, if customers do not understand them</li>,<li>Ensure payouts are correct</li>,<li>Schedule when and where employees in their section will work</li>,<li>Interview, hire, and train new employees</li>,<li>Watch over the slot section and ensure that players are satisfied with the games</li>,<li>Refill machines with tickets when they run out</li>,<li>Oversee payment of large jackpots</li>,<li>Respond to and resolve customer complaints</li>,<li>Interview, hire, and train new employees</li>,<li>Give out cards and provide dice or other equipment to customers</li>,<li>Determine winners, calculate and pay off winning bets, and collect on losing bets</li>,<li>Continually inspect cards or dice</li>,<li>Inform players of the rules of the game</li>,<li>Keep track of the amount of money that customers have already bet</li>,<li>Exchange paper money for gaming chips</li>,<li>Scan tickets and calculate winnings</li>,<li>Operate the equipment that randomly selects bingo or keno numbers</li>,<li>Announce bingo or keno numbers when they are selected</li>,<li>Oversee the cash that comes in (on bets) and goes out (on winnings) during their shift</li>"
"<p>Multimedia artists and animators create two- and three-dimensional models, images that appear to move, and visual effects for television, movies, video games, and other forms of media.</p>,<p>Multimedia artists and animators typically do the following:</p>,<p>Multimedia artists and animators often work in a specific medium. Some focus on creating animated movies or video games. Others create visual effects for movies and television shows. Creating computer-generated images (known as CGI) may include taking images of an actor’s movements and then animating them into three-dimensional characters. Other animators design scenery or backgrounds for locations.</p>,<p>Artists and animators can further specialize within these fields. Within animated movies and video games, artists often specialize in characters or in scenery and background design. Video game artists may focus on level design: creating the look, feel, and layout for the levels of a video game.</p>,<p>Animators work in teams to develop a movie, a visual effect, or an electronic game. Each animator works on a portion of the project, and then the pieces are put together to create one cohesive animation.</p>,<p>Some multimedia artists and animators create their work primarily by using computer software or by writing their own computer code. Many animation companies have their own computer animation software that artists must learn to use. Video game designers also work in a variety of platforms, including mobile gaming and online social networks.</p>,<p>Other artists and animators prefer to work by drawing and painting by hand and then translating the resulting images into computer programs. Some multimedia artists use storyboards or “animatics,” which look like a comic strip, to help visualize the final product during the design process.</p>,<p>Many multimedia artists and animators put their creative work on the Internet. If the images become popular, these artists can gain more recognition, which may lead to future employment or freelance work.</p>",    Bachelor's degree,    Multimedia Artists and Animators,"<li>Use computer programs and illustrations to create graphics and animation (images that appear to move)</li>,<li>Work with a team of animators and artists to create a movie, game, or visual effect</li>,<li>Research upcoming projects to help create realistic designs or animation</li>,<li>Edit animation and effects on the basis of feedback from directors, other animators, game designers, or clients</li>,<li>Meet with clients, other animators, games designers, directors, and other staff (which may include actors) to review deadlines and development timelines</li>"
"<p>Kindergarten and elementary school teachers instruct young students in basic subjects, such as math and reading, in order to prepare them for middle school.</p>,<p>Kindergarten and elementary school teachers typically do the following:</p>,<p>Kindergarten and elementary school teachers help students learn and apply important concepts. Many teachers use a hands-on approach to help students understand abstract concepts, solve problems, and develop critical-thinking skills. For example, they may demonstrate how to do a science experiment and then have the students conduct the experiment themselves. They may have students work together to solve problems.</p>,<p>Elementary school typically goes from first through fifth or sixth grades. However, in some schools, elementary school continues through eighth grade.</p>,<p>Kindergarten and elementary school teachers typically instruct students in several subjects throughout the day. Teachers may escort students to assemblies, recess, or classes taught by other teachers, such as art or music. While students are away from the classroom, teachers plan lessons, grade assignments, or meet with other teachers and staff.</p>,<p>In some schools, teachers may work on subject specialization teams in which they teach one or two specific subjects, typically either English and social studies or math and science. Generally, students spend half their time with one teacher and half their time with the other.</p>,<p>There are kindergarten and elementary school teachers who specialize in subjects such as art, music, or physical education.</p>,<p>Some schools employ <em>English as a second language (ESL)</em> or<em> English for speakers of other languages (ESOL) teachers</em> who work exclusively with students learning the English language. These teachers work with students individually or in groups to help them improve their English language skills and to help them with class assignments.</p>,<p>Students with learning disabilities or emotional or behavioral disorders are often taught in traditional classes. Kindergarten and elementary teachers work with special education teachers to adapt lesson plans to these students’ needs and monitor the students’ progress. In some cases, kindergarten and elementary school teachers may co-teach lessons with <a href=""/ooh/education-training-and-library/special-education-teachers.htm""><u>special education teachers</u></a>.</p>,<p>Some teachers use technology in their classroom as a teaching aide. They must be comfortable with using and learning new technology. Teachers also may maintain websites to communicate with parents about students’ assignments, upcoming events, and grades. For students in higher grades, teachers may create websites or discussion boards to present information or to expand on a lesson taught in class.</p>",    Bachelor's degree,    Kindergarten and Elementary School Teachers,"<li>Create lesson plans to teach students subjects, such as reading, science, and math</li>,<li>Teach students how to interact with others</li>,<li>Observe students to evaluate their abilities, strengths, and weaknesses</li>,<li>Instruct an entire class or smaller groups of students</li>,<li>Grade students’ assignments</li>,<li>Communicate with parents or guardian about their child’s progress</li>,<li>Work with students individually to help them overcome specific learning challenges</li>,<li>Prepare students for standardized tests required by the state</li>,<li>Develop and enforce classroom rules to teach children proper behavior</li>,<li>Supervise children outside of the classroom—for example, during lunchtime or recess</li>"
"<p>Middle school teachers educate students, typically in sixth through eighth grade. Middle school teachers help students build on the fundamentals taught in elementary school and prepare students for high school.</p>,<p>Middle school teachers typically do the following:</p>,<p>Middle school typically goes from sixth to eighth grades. However, in some school districts, middle school may begin in fourth grade or extend through ninth grade.</p>,<p>In many schools, middle school teachers are responsible for certain subjects. For example, one teacher may teach math to several different classes of students throughout the day. However, other middle school teachers instruct on every subject to a single class.</p>,<p>Teachers use time during the day when they do not have classes to plan lessons, grade assignments, or meet with other teachers and staff.</p>,<p>Some middle schools have <em>English as a second language </em>(<em>ESL</em>)<em> </em>or<em> English for speakers of other languages </em>(<em>ESOL</em>)<em> teachers</em> who work with students learning the English language. ESL and ESOL teachers work with students individually or in groups to help them improve their English language skills and to help the students with assignments for their classes.</p>,<p>Middle school teachers may also work with <a href=""/ooh/education-training-and-library/special-education-teachers.htm"">special education teachers</a> to adapt lessons. In some cases, middle school teachers may co-teach lessons with special education teachers.</p>,<p>Teachers must be comfortable using and learning new technology. With parents, teachers may use text-messaging applications to communicate about students’ assignments and upcoming events. With their students, teachers may create websites or discussion boards to present information or to expand on a lesson taught in class.</p>,<p>Some middle school teachers coach sports teams and advise student clubs and groups, whose practices and meetings frequently take place before or after school.</p>",    Bachelor's degree,    Middle School Teachers,"<li>Create lesson plans to teach students a subject</li>,<li>Assess students to evaluate their abilities, strengths, and weaknesses</li>,<li>Teach lessons they have planned to an entire class or to smaller groups</li>,<li>Grade students’ assignments and exams</li>,<li>Communicate with parents or guardians about their child’s progress</li>,<li>Work with students individually to help them overcome specific learning challenges</li>,<li>Prepare students for standardized tests required by the state</li>,<li>Develop and enforce classroom rules</li>,<li>Supervise students outside of the classroom—for example, during lunchtime or detention</li>"
"<p>Police, fire, and ambulance dispatchers, also called <em>public safety telecommunicators</em>, answer emergency and nonemergency calls.</p>,<p>Police, fire, and ambulance dispatchers typically do the following:</p>,<p>Dispatchers answer calls from people who need help from police, firefighters, emergency services, or a combination of the three. They take emergency, nonemergency, and alarm system calls.</p>,<p>Dispatchers must stay calm while collecting vital information from callers to determine the severity of a situation and the location of those who need help. They then communicate this information to the appropriate first-responder agencies.</p>,<p>Dispatchers keep detailed records of the calls that they answer. They use computers to log important facts, such as the nature of the incident and the caller’s name and location. Most computer systems detect the location of cell phones and landline phones automatically.</p>,<p>Dispatchers often must instruct callers on what to do before responders arrive. Many dispatchers are trained to offer medical help over the phone. For example, they might help the caller provide first aid at the scene until emergency medical services arrive. At other times they may advise callers on how to remain safe while waiting for assistance.</p>",    High school diploma or equivalent,"    Police, Fire, and Ambulance Dispatchers","<li>Answer 9-1-1 emergency telephone and alarm system calls</li>,<li>Determine the type of emergency and its location and decide the appropriate response on the basis of agency procedures</li>,<li>Relay information to the appropriate first-responder agency</li>,<li>Coordinate the dispatch of emergency response personnel to accident scenes</li>,<li>Give basic over-the-phone medical instructions before emergency personnel arrive</li>,<li>Monitor and track the status of police, fire, and ambulance units</li>,<li>Synchronize responses with other area communication centers</li>,<li>Keep detailed records of calls</li>"
"<p>Aircraft and avionics equipment mechanics and technicians repair and perform scheduled maintenance on aircraft.</p>,<p>Aircraft mechanics typically do the following:</p>,<p>Avionics technicians typically do the following:</p>,<p>Airplanes require reliable parts and maintenance in order to fly safely. To keep an airplane in operating condition, aircraft and avionics equipment mechanics and technicians perform scheduled maintenance, make repairs, and complete inspections. They must follow detailed regulations set by the <a class=""external"" href=""http://www.faa.gov/"" target=""_blank"" rel=""noopener noreferrer"">Federal Aviation Administration</a> (FAA) that dictate maintenance schedules for different operations.</p>,<p>Many mechanics are generalists and work on many different types of aircraft, such as jets, piston-driven airplanes, and helicopters. Others specialize in one section, such as the engine, hydraulic system, or electrical system, of a particular type of aircraft. In independent repair shops, mechanics usually inspect and repair many types of aircraft.</p>,<p>The following are examples of types of aircraft and avionics equipment mechanics and technicians:</p>,<p><strong><em>Airframe and Powerplant (A&amp;P) mechanics</em></strong> are certified generalist mechanics who can independently perform many maintenance and alteration tasks on aircraft. A&amp;P mechanics repair and maintain most parts of an aircraft, including the engines, landing gear, brakes, and air-conditioning system. Some specialized activities require additional experience and certification.</p>,<p>Maintenance schedules for aircraft may be based on hours flown, days since the last inspection, trips flown, or a combination of these factors. Maintenance also may need to be done at other times to address specific issues recognized by mechanics or manufacturers.</p>,<p>Mechanics use precision instruments to measure wear and identify defects. They may use x rays or magnetic or ultrasonic inspection equipment to discover cracks that cannot be seen on a plane’s exterior. They check for corrosion, distortion, and cracks in the aircraft’s main body, wings, and tail. They then repair the metal, fabric, wood, or composite materials that make up the airframe and skin.</p>,<p>After completing all repairs, mechanics test the equipment to ensure that it works properly and record all maintenance completed on an aircraft.</p>,<p><strong><em>Avionics technicians</em></strong> are specialists who repair and maintain a plane’s electronic instruments, such as radio communication devices and equipment, radar systems, and navigation aids. As the use of digital technology increases, more time is spent maintaining computer systems. The ability to repair and maintain many avionics and flight instrument systems is granted through the Airframe rating, but other licenses or certifications may be needed as well.</p>,<p><strong><em>Designated airworthiness representatives (DARs)</em></strong> examine, inspect, and test aircraft for airworthiness. They issue airworthiness certificates, which aircraft must have to fly. There are two types of DARs: manufacturing DARs and maintenance DARs.</p>,<p><strong><em>Inspection authorized (IA) mechanics</em></strong> are mechanics who have both Airframe and Powerplant certification and may perform inspections on aircraft and return them to service. IA mechanics are able to do a wider variety of maintenance activities and alterations than any other type of maintenance personnel. They can do comprehensive annual inspections or return aircraft to service after a major repair.</p>,<p><strong><em>Repairmen</em></strong> certificate holders may or may not have the A&amp;P certificate or other certificates. Repairmen certificates are issued by certified repair stations to aviation maintenance personnel, and the certificates allow them to do specific duties. Repairmen certificates are valid only while the mechanic works at the issuing repair center and are not transferable to other employers.</p>",    ,    Aircraft and Avionics Equipment Mechanics and Technicians,"<li>Diagnose mechanical or electrical problems</li>,<li>Repair wings, brakes, electrical systems, and other aircraft components</li>,<li>Replace defective parts, using hand tools or power tools</li>,<li>Examine replacement aircraft parts for defects</li>,<li>Read maintenance manuals to identify repair procedures</li>,<li>Test aircraft parts with gauges and other diagnostic equipment</li>,<li>Inspect completed work to ensure that it meets performance standards</li>,<li>Keep records of maintenance and repair work</li>,<li>Test electronic instruments, using circuit testers, oscilloscopes, and voltmeters</li>,<li>Interpret flight test data to diagnose malfunctions and performance problems</li>,<li>Assemble components, such as electrical controls and junction boxes, and install software</li>,<li>Install instrument panels, using hand tools, power tools, and soldering irons</li>,<li>Repair or replace malfunctioning components</li>,<li>Keep records of maintenance and repair work</li>"
"<p>Diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists, also called <em>diagnostic imaging workers</em>, operate special imaging equipment to create images or conduct tests. The images and test results help physicians assess and diagnose medical conditions. Sonographers and technologists may work closely with <a href=""/ooh/healthcare/physicians-and-surgeons.htm""><u>physicians and surgeons</u></a> before, during, and after procedures.</p>,<p>Diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists, typically do the following:</p>,<p><strong><em>Diagnostic medical sonographers</em></strong> specialize in creating images of the body’s organs and tissues. The images are known as sonograms or ultrasounds. Sonograms are often the first imaging tests performed when disease is suspected.</p>,<p>Diagnostic sonography uses high-frequency sound waves to produce images of the inside of the body. The sonographer uses an instrument called an ultrasound transducer to scan parts of the patient’s body that are being examined. The transducer emits pulses of sound that bounce back, causing echoes. The echoes are then sent to an ultrasound machine, which processes them and displays them as images used by physicians for diagnosis.</p>,<p>The following are examples of types of diagnostic medical sonographers:</p>,<p><strong><em>Cardiovascular technologists and technicians</em></strong> create images and conduct tests involving the heart and lungs. The following are examples of types of cardiovascular technologists and technicians:</p>",    Associate's degree,"    Diagnostic Medical Sonographers and Cardiovascular Technologists and Technicians, Including Vascular Technologists","<li>Prepare patients for procedures by taking their medical history and answering any questions about the procedure</li>,<li>Prepare and maintain diagnostic imaging equipment</li>,<li>Operate equipment to obtain diagnostic images or to conduct tests</li>,<li>Review images or test results to check for quality and adequate coverage of the areas needed for diagnoses</li>,<li>Recognize the difference between normal and abnormal images, and identify other diagnostic information</li>,<li>Analyze diagnostic information to provide a summary of findings for physicians</li>,<li>Record findings and keep track of patients’ records</li>,<li><em>Abdominal sonographers</em> specialize in imaging a patient’s abdominal cavity and nearby organs, such as the kidney, liver, gallbladder, pancreas, or spleen. Abdominal sonographers may assist with biopsies or other examinations requiring ultrasound guidance.</li>,<li><em>Breast sonographers</em> specialize in imaging a patient’s breast tissues. Sonography can confirm the presence of cysts and tumors that may have been detected by the patient, the physician, or a mammogram. Breast sonographers work closely with physicians and assist with procedures that track tumors and help to provide information that will aid doctors in making decisions about the best treatment options for breast cancer patients.</li>,<li><em>Cardiac sonographers</em> (<em>echocardiographers</em>) specialize in imaging a patient’s heart. They use ultrasound equipment to examine the heart’s chambers, valves, and vessels. The images obtained are known as echocardiograms. An echocardiogram may be performed either while the patient is resting or after the patient has been physically active. Cardiac sonographers also may take echocardiograms of fetal hearts so that physicians can diagnose cardiac conditions during pregnancy. Cardiac sonographers work closely with physicians or surgeons before, during, and after procedures.</li>,<li><em>Musculoskeletal sonographers </em>specialize in imaging muscles, ligaments, tendons, and joints. These sonographers may assist with ultrasound guidance for injections, or during surgical procedures, that deliver medication or treatment directly to affected tissues.</li>,<li><em>Pediatric sonographers</em> specialize in imaging children and infants. Many of the medical conditions they image are associated with premature births or birth defects. Pediatric sonographers may work closely with pediatricians and other caregivers.</li>,<li><em>Obstetric and gynecologic sonographers </em>specialize in imaging the female reproductive system. Many pregnant women receive sonograms to track the baby’s growth and health. Obstetrical sonographers work closely with physicians in detecting congenital birth defects.</li>,<li><em>Vascular technologists</em> (<em>vascular sonographers</em>) create images of blood vessels and collect data that help physicians diagnose disorders affecting blood flow. Vascular technologists often measure a patient’s blood pressure and the volume of blood in their arms, legs, fingers, and toes in order to evaluate blood flow and identify blocked arteries or blood clots in the body.</li>,<li><em>Cardiovascular invasive specialists</em>, also known as c<em>ardiac catheterization technologists </em>or <em>cardiovascular technologists</em>, monitor patients’ heart rates and help physicians in diagnosing and treating problems with patients’ hearts. They assist with cardiac catheterization, which involves threading a catheter through a patient’s artery to the heart. They also prepare and monitor patients during open-heart surgery and during the insertion of pacemakers and stents. Technologists prepare patients for procedures by shaving and cleansing the area into which the catheter will be inserted and by administering topical anesthesia. During the procedure, they monitor the patient’s blood pressure and heart rate.</li>,<li><em>Cardiographic or electrocardiogram (EKG) technicians</em> specialize in EKG testing. EKG machines monitor the heart’s performance through electrodes attached to a patient’s chest, arms, and legs. The tests can be done while the patient is at rest or while the patient is physically active. For a stress test, the patient walks on a treadmill and the technician gradually increases the speed to observe the effect on the heart of increased exertion.</li>,<li><em>Pulmonary function technologists</em>, also known as c<em>ardiopulmonary technologists</em>, monitor and test patients’ lungs and breathing. For example, they use spirometry to measure the amount of air that a patient can inhale or exhale. These technologists help physicians in diagnosing and treating problems of the pulmonary system.</li>"
"<p>Water transportation workers operate and maintain vessels that take cargo and people over water. The vessels travel to and from foreign ports across the ocean and to domestic ports along the coasts, across the Great Lakes, and along the country’s many inland waterways.</p>,<p>Water transportation workers typically do the following:</p>,<p>These workers, sometimes called <em>merchant mariners</em>, work on a variety of ships.</p>,<p>Some operate large deep-sea container ships to transport manufactured goods and refrigerated cargos around the world.</p>,<p>Others work on bulk carriers that move heavy commodities, such as coal or iron ore, across the oceans and over the Great Lakes.</p>,<p>Still others work on both large and small tankers that carry oil and other liquid products around the country and the world. Others work on supply ships that transport equipment and supplies to offshore oil and gas platforms.</p>,<p>Workers on tugboats help barges and other boats maneuver in small harbors and at sea.</p>,<p>Salvage vessels that offer emergency services also employ merchant mariners.</p>,<p>Cruise ships also employ water transportation workers, and some merchant mariners work on ferries to transport passengers along shorter distances.</p>,<p>A typical deep-sea merchant ship, large coastal ship, or Great Lakes merchant ship employs a captain and a chief engineer, along with three mates, three assistant engineers, and a number of sailors and marine oilers. Smaller vessels that operate in harbors or rivers may have a smaller crew. The specific complement of mariners is dependent on U.S. Coast Guard regulations.</p>,<p>Also, there are other workers on ships, such as <a href=""/ooh/food-preparation-and-serving/cooks.htm""><u>cooks</u></a>, <a href=""/ooh/construction-and-extraction/electricians.htm""><u>electricians</u></a>, and <a href=""/ooh/installation-maintenance-and-repair/general-maintenance-and-repair-workers.htm""><u>general maintenance and repair workers</u></a>.</p>,<p>The following are examples of types of water transportation workers: </p>,<p><strong><em>Captains</em></strong>, sometimes called <em>masters</em>, have overall command of a vessel. They have the final responsibility for the safety of the crew, cargo, and passengers. Captains typically do the following:</p>,<p><strong><em>Mates</em></strong>, or <em>deck officers</em>, direct the operation of a vessel while the captain is off duty. Large ships have three officers, called first, second, and third mates. The first mate has the highest authority and takes command of the ship if the captain is incapacitated. Usually, the first mate is in charge of the cargo and/or passengers, the second mate is in charge of navigation, and the third mate is in charge of safety. On smaller vessels, there may be only one mate who handles all of the responsibilities. Deck officers typically do the following:</p>,<p><strong><em>Pilots</em></strong> guide ships in harbors, on rivers, and on other confined waterways. They are not part of a ship’s crew but go aboard a ship to guide it through a particular waterway that they are familiar with. They work in places where a high degree of familiarity with local tides, currents, and hazards is needed. Some, called <em>harbor pilots</em>, work for ports and help many ships that come into the harbor during the day. When coming into a commercial port, a captain will often have to turn control of the vessel over to a pilot, who can safely guide it into the harbor. Pilots typically do the following:</p>,<p><strong><em>Sailors</em></strong>, or <em>deckhands</em>, operate and maintain the vessel and deck equipment. They make up the deck crew and keep all parts of a ship, other than areas related to the engine and motor, in good working order. New deckhands are called <em>ordinary seamen</em> and do the least complicated tasks. Experienced deckhands are called <em>able seamen</em> and usually make up most of a crew. Some large ships have a <em>boatswain,</em> who is the chief of the deck crew. Sailors typically do the following:</p>,<p><strong><em>Ship engineers</em></strong> operate and maintain a vessel’s propulsion system, which includes the engine, boilers, generators, pumps, and other machinery. Large vessels usually carry a <em>chief engineer</em>, who has command of the engine room and its crew, and a first, second, and third assistant engineer. The assistant engineer oversees the engine and related machinery when the chief engineer is off duty. Small ships might have only one engineer. Engineers typically do the following:</p>,<p><strong><em>Marine oilers</em></strong> work in the engine room, helping the engineers keep the propulsion system in working order. They are the engine room equivalent of sailors. New oilers usually are called <em>wipers,</em> or <em>pumpmen</em><strong><em>,</em></strong> on vessels handling liquid cargo. With experience, a wiper can become a Qualified Member of the Engine Department (QMED). Marine oilers typically do the following:</p>,<p><strong><em>Motorboat operators</em></strong> run small, motor-driven boats that carry only a few passengers. They provide a variety of services, such as fishing charters, tours, and harbor patrols. Motorboat operators typically do the following:</p>",    ,    Water Transportation Workers,"<li>Operate and maintain nonmilitary vessels</li>,<li>Follow their vessel’s strict chain of command</li>,<li>Ensure the safety of all people and cargo on board</li>,<li>Steer and operate vessels</li>,<li>Direct crew members</li>,<li>Ensure that proper safety procedures are followed</li>,<li>Purchase equipment and supplies and arrange for any necessary maintenance and repair Oversee the loading and unloading of cargo or passengers</li>,<li>Keep logs and other records that track the ship’s movements and activities</li>,<li>Interact with passengers on cruise ships</li>,<li>Alternate watches with the captain and other officers</li>,<li>Supervise and coordinate the activities of the deck crew</li>,<li>Assist with docking the ship</li>,<li>Monitor the ship’s position, using charts and other navigational aides</li>,<li>Determine the speed and direction of the vessel</li>,<li>Inspect the cargo hold during loading, to ensure that the cargo is stowed according to specifications</li>,<li>Make announcements to passengers when needed</li>,<li>Board an unfamiliar ship from a small boat in the open water, often using a ladder</li>,<li>Confer with a ship’s captain about the vessel’s destination and any special requirements it has</li>,<li>Establish a positive working relationship with a vessel’s captain and deck officers</li>,<li>Receive mooring instructions from shore dispatchers</li>,<li>Stand watch, looking for other vessels or obstructions in their ship’s path and for navigational aids, such as buoys and lighthouses</li>,<li>Steer the ship under the guidance of an officer and measure water depth in shallow water</li>,<li>Do routine maintenance, such as painting the deck and chipping away rust</li>,<li>Keep the inside of the ship clean</li>,<li>Handle mooring lines when docking or departing</li>,<li>Tie barges together when they are being towed</li>,<li>Load and unload cargo</li>,<li>Help passengers when needed</li>,<li>Maintain a ships’ mechanical and electrical equipment and systems</li>,<li>Start the engine and regulate the vessel’s speed, following the captain’s orders</li>,<li>Record information in an engineering log</li>,<li>Keep an inventory of mechanical parts and supplies</li>,<li>Do routine maintenance checks throughout the day</li>,<li>Calculate refueling requirements</li>,<li>Lubricate gears, shafts, bearings, and other parts of the engine or motor</li>,<li>Read pressure and temperature gauges and record data</li>,<li>Perform daily and periodic maintenance on engine room machinery</li>,<li>Help engineers with repairs to machinery</li>,<li>Connect hoses, operate pumps, and clean tanks</li>,<li>Assist the deck crew with loading or unloading of cargo, if necessary</li>,<li>Check and change the oil and other fluids on their boat</li>,<li>Pick up passengers and help them board the boat</li>,<li>Act as a tour guide, if necessary</li>"
"<p>Chemical engineers apply the principles of chemistry, biology, physics, and math to solve problems that involve the production or use of chemicals, fuel, drugs, food, and many other products. They design processes and equipment for large-scale manufacturing, plan and test production methods and byproducts treatment, and direct facility operations.</p>,<p>Chemical engineers typically do the following:</p>,<p>Some chemical engineers, known as <em><strong>process engineers</strong></em>, specialize in a particular process, such as oxidation (a reaction of oxygen with chemicals to make other chemicals) or polymerization (making plastics and resins).</p>,<p>Others specialize in a particular field, such as nanomaterials (extremely small substances) or biological engineering. Still others specialize in developing specific products.</p>,<p>In addition, chemical engineers work in the production of energy, electronics, food, clothing, and paper. They must understand how the manufacturing process affects the environment and the safety of workers and consumers.</p>,<p>Chemical engineers also conduct research in the life sciences, biotechnology, and business services.</p>",    Bachelor's degree,    Chemical Engineers,"<li>Conduct research to develop new and improved manufacturing processes</li>,<li>Establish safety procedures for those working with dangerous chemicals</li>,<li>Develop processes for separating components of liquids and gases, or for generating electrical currents, by using controlled chemical processes</li>,<li>Design and plan the layout of equipment</li>,<li>Conduct tests and monitor the performance of processes throughout production</li>,<li>Troubleshoot problems with manufacturing processes</li>,<li>Evaluate equipment and processes to ensure compliance with safety and environmental regulations</li>,<li>Estimate production costs for management</li>"
"<p>Electrical and electronics installers and repairers install or repair a variety of electrical equipment in telecommunications, transportation, utilities, and other industries.</p>,<p>Electrical and electronics installers and repairers typically do the following:</p>,<p>Modern manufacturing plants and transportation systems use a large amount of electrical and electronics equipment, from assembly line motors to sonar systems. Electrical and electronics installers and repairers fix and maintain these complex pieces of equipment.</p>,<p>Because automated electronic control systems are becoming more complex, repairers use software programs and testing equipment to diagnose malfunctions. Among their diagnostic tools are multimeters—which measure voltage, current, and resistance—and advanced multimeters, which measure the capacitance, inductance, and current gain of transistors.</p>,<p>Repairers also use signal generators, which provide test signals, and oscilloscopes, which display signals graphically. In addition, repairers often use hand tools such as pliers, screwdrivers, and wrenches to replace faulty parts and adjust equipment.</p>,<p>The following are examples of types of electrical and electronics installers and repairers:</p>,<p><strong><em>Commercial and industrial electrical and electronics equipment repairers</em></strong> adjust, test, repair, or install electronic equipment, such as industrial controls, transmitters, and antennas.</p>,<p><strong><em>Electric motor, power tool, and related repairers</em></strong><em>—</em>such as <em>armature</em> <em>winders, generator mechanics,</em> and <em>electric golf cart repairers</em>—specialize in installing, maintaining, and repairing electric motors, wiring, or switches.</p>,<p><strong><em>Electrical and electronics installers and repairers of transportation equipment</em></strong> install, adjust, or maintain mobile communication equipment, including sound, sonar, security, navigation, and surveillance systems on trains, watercraft, or other vehicles.</p>,<p><strong><em>Electronic equipment installers and repairers of motor vehicles</em></strong> install, diagnose, and repair sound, security, and navigation equipment in motor vehicles. These installers and repairers work with a range of complex electronic equipment, including digital audio and video players, navigation systems, and passive and active security systems.</p>,<p><strong><em>Powerhouse, substation, and relay</em></strong> <strong><em>electrical and electronics repairers</em></strong> inspect, test, maintain, or repair electrical equipment used in generating stations, substations, and in-service relays. These workers also may be known as <em>powerhouse electricians, relay technicians</em>, or <em>power transformer repairers.</em></p>",    ,    Electrical and Electronics Installers and Repairers,"<li>Discuss problems and requirements with customers</li>,<li>Inspect and test equipment</li>,<li>Reproduce, isolate, and diagnose problems</li>,<li>Disassemble equipment as necessary to access problematic components</li>,<li>Clean, repair, and replace components</li>,<li>Reassemble and test equipment after repairs</li>,<li>Keep records of repairs, tests, parts, and labor hours</li>"
